"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-08-31,"Eastgate","MI","Grand Rapids","Kent","Grand Rapids",4377,142200,0.00851063829787234,0.0193548387096774,0.0432868672046955,0.0397830821203922,-0.00242856583397821,"2005-07","2005-Q3",145900,-0.0253598355037697,"2004-10"
2015-08-31,"South Blue Valley","MO","Kansas City","Jackson","Kansas City",4378,30200,0.0378006872852234,0.023728813559322,-0.0443037974683544,,,"2011-06","2011-Q2",34000,-0.111764705882353,
2015-08-31,"Silver Sprints Village","TX","El Paso","El Paso","El Paso",4379,300200,-0.0039814200398142,-0.000998336106489185,0.0376771517455928,0.00833220904026466,0.0110717790531818,"2007-01","2007-Q1",314100,-0.0442534224769182,"2006-08"
2015-08-31,"Summerwood","OH","Columbus","Franklin","Columbus",4380,143600,0.00209351011863224,-0.00828729281767956,0.00984528832630099,-0.00221363544262565,-0.00267606485411964,"2006-04","2006-Q2",153000,-0.061437908496732,"2004-09"
2015-08-31,"Independence","OK","Tulsa","Tulsa","Tulsa",4381,48200,-0.0102669404517454,0.00626304801670146,0.0616740088105727,0.0274317646400646,0.00938826596835218,"2015-07","2015-Q3",48700,-0.0102669404517454,"2015-07"
2015-08-31,"Brookland Park","VA","Richmond","Richmond City","Richmond",4382,123100,-0.000811688311688312,-0.00243111831442464,0.058469475494411,0.013529854686168,0.0166132257912963,"2008-03","2008-Q1",136900,-0.100803506208912,"2007-06"
2015-08-31,"Quailwood","CA","Bakersfield","Kern","Bakersfield",4383,203700,0.00196753566158387,0.00841584158415842,0.0159600997506234,0.0535947965477672,-0.0377167108362315,"2006-03","2006-Q1",329600,-0.381978155339806,"2004-07"
2015-08-31,"Poplar Level","KY","Louisville/Jefferson County","Jefferson","Louisville",4384,144200,0.0034794711203897,0.00980392156862745,0.0154929577464789,0.0203226645557264,0.0108881332161774,"2014-03","2014-Q1",145100,-0.0062026188835286,"2014-02"
2015-08-31,"Pine Ridge","FL","Naples","Collier","Naples",4385,668300,0.0128826917247651,0.0361240310077519,0.145919067215364,0.0507759517383515,,"2006-10","2006-Q4",1063900,-0.371839458595733,
2015-08-31,"Crossroads Area","FL","Tampa","Pinellas","Saint Petersburg",4386,215500,0.000928936367858802,0.00466200466200466,0.0631475086334485,0.0821715982546032,-0.0073932746604467,"2006-06","2006-Q2",257900,-0.164404808065142,"2005-03"
2015-08-31,"Garland","AL","Mobile","Mobile","Mobile",4387,144200,0,0.0154929577464789,0.049490538573508,0.00449835425032985,0.00609395887573094,"2007-11","2007-Q4",161100,-0.104903786468032,"2005-12"
2015-08-31,"Z'berg Park","CA","Sacramento","Sacramento","Sacramento",4388,335900,0.00749850029994001,0.0240853658536585,0.0546310832025118,0.0347942978231002,-0.0230458700959644,"2005-10","2005-Q4",433300,-0.224786522040157,"2004-04"
2015-08-31,"Biddle Street","MD","Baltimore","Baltimore City","Baltimore",4389,37100,0,0.00815217391304348,0.0784883720930233,-0.00373144738550513,-0.0127977287580396,"2012-05","2012-Q2",49000,-0.242857142857143,"2004-12"
2015-08-31,"Park Crossing","NC","Charlotte","Mecklenburg","Charlotte",4390,512500,0.00136772176631497,0.0112470402525651,0.0366100323624595,0.0515006047855757,0.0217704902925524,"2015-08","2015-Q3",512500,0,"2015-08"
2015-08-31,"Wesleyan Hill","OH","Dayton","Montgomery","Dayton",4391,30700,-0.00324675324675325,-0.00324675324675325,-0.144846796657382,-0.0510723618014646,-0.0709736446068909,"2006-12","2006-Q4",65800,-0.533434650455927,
2015-08-31,"Greenbriar Farm","OH","Columbus","Franklin","Columbus",4392,216200,0.000462748727441,0.0324737344794651,0.101936799184506,0.0321071783191877,0.00300944022475158,"2006-10","2006-Q4",216600,-0.00184672206832872,"2006-09"
2015-08-31,"Imperial Estates","CA","Los Angeles","Los Angeles","Long Beach",4393,576100,0.009462064131768,0.0331779053084649,0.0736116287737607,0.0373029938496416,-0.002617702892868,"2006-02","2006-Q1",645000,-0.106821705426357,"2005-06"
2015-08-31,"Georgia Avenue","AL","Mobile","Mobile","Mobile",4394,102300,0.000978473581213307,0.017910447761194,0.0354251012145749,-0.028972662889749,0.0154022274859249,"2009-08","2009-Q3",124800,-0.180288461538462,"2007-06"
2015-08-31,"Woodland Terrace","FL","Tampa","Hillsborough","Tampa",4395,84300,0.0132211538461538,0.052434456928839,0.125500667556742,0.0252999302179246,-0.0445009505016217,"2006-09","2006-Q3",160900,-0.476072094468614,"2002-12"
2015-08-31,"Leinkauf","AL","Mobile","Mobile","Mobile",4396,72300,-0.00138121546961326,0.00696378830083566,-0.0536649214659686,-0.0513418660629432,-0.0110537371178125,"2009-12","2009-Q4",107500,-0.327441860465116,"2004-06"
2015-08-31,"Cascade Heights","GA","Atlanta","Fulton","Atlanta",4397,90500,-0.0011037527593819,-0.00984682713347921,-0.0011037527593819,-0.040531584282673,-0.0587469308907686,"2006-12","2006-Q4",171700,-0.472917880023296,"1998-08"
2015-08-31,"Carol Rae Ranch","AZ","Phoenix","Maricopa","Gilbert",4398,246200,0.00448796409628723,0.0194616977225673,0.0485519591141397,0.074490139543431,-0.016545135734955,"2006-01","2006-Q1",322500,-0.236589147286822,"2005-04"
2015-08-31,"Park Village","AZ","Phoenix","Maricopa","Gilbert",4399,234100,0.00774860094705123,0.0236117184083953,0.0655439235320892,0.0830413690380441,-0.0144212847970869,"2006-01","2006-Q1",289800,-0.192201518288475,"2005-05"
