Sold Price,,,,,,,List Price,,,,,,,,Compare,
RegionName,City,State,Metro,CountyName,2015-01,2015-02,RegionName,City,State,Metro,CountyName,2015-01,2015-02,,,
95121,San Jose,CA,San Jose,Santa Clara,616235.2941,543950,95121,San Jose,CA,San Jose,Santa Clara,532900,550000,,TRUE,-6050
95131,San Jose,CA,San Jose,Santa Clara,,593000,95131,San Jose,CA,San Jose,Santa Clara,599999,689999,,TRUE,-96999
95054,Santa Clara,CA,San Jose,Santa Clara,,696615.3846,95054,Santa Clara,CA,San Jose,Santa Clara,680000,719999,,TRUE,-23383.6154
94024,Los Altos,CA,San Jose,Santa Clara,,2588461.539,94024,Los Altos,CA,San Jose,Santa Clara,2500000,2588000,,TRUE,461.5385
94506,Danville,CA,San Francisco,Contra Costa,1006000,1011000,94506,Danville,CA,San Francisco,Contra Costa,1339995,1299900,,TRUE,-288900
94949,Novato,CA,San Francisco,Marin,635000,602647.0588,94949,Novato,CA,San Francisco,Marin,869000,819000,,TRUE,-216352.9412
94519,Concord,CA,San Francisco,Contra Costa,,410769.2308,94519,Concord,CA,San Francisco,Contra Costa,399900,419000,,TRUE,-8230.7692
94019,Half Moon Bay,CA,San Francisco,San Mateo,,859307.6923,94019,Half Moon Bay,CA,San Francisco,San Mateo,990000,1099000,,TRUE,-239692.3077
95110,San Jose,CA,San Jose,Santa Clara,479000,491550,95110,San Jose,CA,San Jose,Santa Clara,548500,500000,,TRUE,-8450
94505,Discovery Bay,CA,San Francisco,Contra Costa,439900,468600,94505,Discovery Bay,CA,San Francisco,Contra Costa,499000,495000,,TRUE,-26400
94105,San Francisco,CA,San Francisco,San Francisco,,1253076.923,94105,San Francisco,CA,San Francisco,San Francisco,1750000,1750000,,TRUE,-496923.0769
94517,Clayton,CA,San Francisco,Contra Costa,,679000,94517,Clayton,CA,San Francisco,Contra Costa,669000,585000,,TRUE,94000
